district,population,dtg
Ampara,649602,20130101
Anuradhapura,860575,20130101
Badulla,815405,20130101
Batticaloa,526567,20130101
Colombo,2324349,20130101
Galle,1063334,20130101
Gampaha,2304833,20130101
Hambantota,599903,20130101
Jaffna,583882,20130101
Kalutara,1221948,20130101
Kandy,1375782,20130101
Kegalle,840648,20130101
Kilinochchi,113510,20130101
Kurunegala,1618465,20130101
Mannar,99570,20130101
Matale,484531,20130101
Matara,814048,20130101
Monaragala,451058,20130101
Mullaitivu,92238,20130101
Nuwara Eliya,711644,20130101
Polonnaruwa,406088,20130101
Puttalam,762396,20130101
Ratnapura,1088007,20130101
Trincomalee,379541,20130101
Vavuniya,172155,20130101
