Station_Id,Station_name,LAT,LON
43404,Jaffna,9.68,80.03
43413,Mannar,8.98,79.92
43415,Vavuniya,8.75,80.5
43418,Trincomalee,8.58,81.25
43421,Anuradhapura,8.35,80.38
43422,Mahailluppallama,8.12,80.47
43424,Puttalam,8.03,79.83
43436,Batticaloa,7.72,81.7
43441,Kurunegala,7.47,80.37
43444,Katugastota,7.33,80.63
43450,Katunayaka,7.17,79.88
43466,Colombo,6.93,79.85
43467,Ratmalana,6.82,79.88
43473,Nuwara Eliya,6.96636,80.768415
43479,Badulla,6.98,81.05
43486,Ratnapura,6.68,80.4
43495,Galle,6.03,80.22
43497,Hambantota,6.12,81.13
43999,Pottuvil,6.88,81.83
43MMM,Monaragala,6.5,81.3
43PPP,Polonnaruwa,7.87,81.05
143476,Bandarawela,6.8257954,80.9980911
