Station_name,LAT,LON
JAFFNA,9.68,80.03
MANNAR,8.98,79.92
VAVUNIYA,8.75,80.5
TRINCOMALEE,8.58,81.25
ANURADHAPURA,8.35,80.38
MAHA ILLUPPALLAMA,8.12,80.47
PUTTALAM,8.03,79.83
BATTICALOA,7.72,81.7
KURUNEGALA,7.47,80.37
KATUGASTHOTA,7.33,80.63
KATUNAYAKA,7.17,79.88
COLOMBO,6.93,79.85
RATMALANA,6.82,79.88
NUWARA ELIYA,6.96,80.76
BADULLA,6.98,81.05
RATNAPURA,6.68,80.4
GALLE,6.03,80.22
HAMBANTOTA,6.12,81.13
POTTUVIL,6.88,81.83
MONARAGALA,6.5,81.3
POLONNARUWA,7.87,81.05
BANDARAWELA,6.82,80.99
KANKASANTURAI,9.48,80.04
