Station,LAT,LON
Adalacheni,7.23,81.85
Allai tank,8.4,81.32
Ambanpitiya estate,7.23,80.32
Ambepussa Govt. farm,7.28,80.17
Amparai tank,7.28,81.67
Anamaduwa Despencery,7.88,80
Andigama farm,7.37,80.12
Angoda Mental hospital,6.93,79.92
Anuradhapura,8.35,80.38
Aralaganwila,7.8,81.15
Aramangolla,6.73,80.05
Aranayaka Govt. hospital,7.18,80.47
Avissawella hospital,6.95,80.22
Avissawella estate,6.92,80.18
Baddegama estate,6.18,80.18
Balangoda post office,6.65,80.7
Bandaragama,6.72,80
Bandarawela,6.82,80.9980911
Battaramulla,6.9,79.92
Batticaloa,7.72,81.7
Belihuloya,6.72,80.77
Chavakachcheri,9.67,80.17
Chilaw+AC0-P.W.D.,7.58,79.78
Cinnamon Lake Side hotel,6.92,79.83
Dampelessa+AC0- Narammala,7.42,80.2
Dehiwala zoo,6.85,79.87
Dodangaslanda,7.57,80.53
Egodagama ela,7.43,80.42
Ehetugaswewa,8.97,80.83
Embilipitiya coconut,6.32,80.85
Eppawala water supply,8.13,80.4
Galaboda estate,6.7,80.47
Galphella,7.35,80.7
Giritale +AC0- wild life,8,80.93
Guruluwana,6.75,80.43
Hakwatuna oya,7.65,80.38
Handapanagala,6.55,81.12
Hanwella group,6.88,80.12
Kahatagasdigiliya W/S,8.42,80.68
Negombo,7.22,79.83
Navatakiri Aru Tank,7.47,81.72
Kudasigiriya,7.68,81.13
Pottuvil,6.88,81.83
+ACI-Sagamam Tank
+ACI-,7.13,81.8
+ACI-Samanthurai
+ACI-,7.37,81.68
Thirukkovil,7.07,81.82
Wewessa estate,6.97,81.1
Kalkudah,7.88,81.55
Mylambavelly Estate,7.77,81.63
Colombo Port,6.93,79.85
Hanwella Group,6.88,80.12
Homagama,6.83,80.02
Labugama tank,6.83,80.18
Oruwala,6.88,80
Ratmalana,6.82,79.88
Labuduwa,6.07,80.23
Kirindiwela (coconut),7.03,80.12
Negombo,7.22,79.83
Pasyala,7.15,80.13
Thammita,7.1,79.95
Walpita,7.27,80.05
Mahalewaya,6.13,81.13
Suriyawewa,6.32,81.0025024
Jaffna,9.68,80.03
Point Pedro,9.83,80.23
Katugastota,7.33,80.63
Peradeniya Bot garden,7.27,80.6
+ACI-Muruthalawa Suriyagoda+ACI-,7.32,80.4
Wewalthalawa estate,7.05,80.38
Iranamadu tank,9.35,80.4
Ibbagamuwa,7.52,80.42
Kouluwewa,7.53,79.93
Kuliyapitiya,7.45,80
Kurunegala,7.47,80.37
Mediyawa tank,7.08,80.28
Mellawa estate,7.32,79.95
Nikaweratiya,7.75,80.12
Panduwasnuwara,7.6,80.12
Pannala viridiyawa estate,7.33,80.03
Ridibendi ela,7.73,80.25
Siyambalangamuwa,7.95,80.45
Wariyapola expilstation,7.63,80.25
+ACI-Kalutara Vogan Group+ACI-,6.53,80.1
Pallegoda Estate,6.47,80.05
Rayigama,6.77,80.18
Usk Valley S.P.,6.57,80.23
Mannar,8.98,79.92
Illukkumbura,7.55,80.77
Loolkade division,7.65,80.55
Medapeella,7.7,80.73
Wewalmada,7.48,80.68
Kekanadura (Matara),5.97,80.57
Tanamalwila water supply,6.87,81.35
Wellawaya,6.73,81.1
Kannukkeni tank,9.2,80
Muthunyankaddu,9.22,80.65
Hattun Rosita,6.92,80.6
Kenilworth (strathellie),7,80.48
Udaradella,6.97,80.82
Kaudulla Wewa,8.13,80.93
Minneriya Tank,8.05,80.9
Polonnaruwa,7.87,81.05
Polonnaruwa Agri.Station,7.92,81.03
Welikanda (Sighapura),8,81.22
Marawila,7.4,79.83
Puttalam,8.03,79.83
Kalawana,6.48,80.38
Morahela,6.67,80.67
Pusella S.P,6.8,80.35
Wellandura estate,6.53,80.57
Trincomalee,8.58,81.25
Pavatkulam,8.68,80.43
Vavuniya P.W.D.,8.75,80.5
